Title,Abstract,First Claim,Target
Geophysical deep learning,A method can include selecting a type of geophysical data; selecting a type of algorithm; generating synthetic geophysical data based at least in part on the algorithm; training a deep learning framework based at least in part on the synthetic geophysical data to generate a trained deep learning framework; receiving acquired geophysical data for a geologic environment; implementing the trained deep learning framework to generate interpretation results for the acquired geophysical data; and outputting the interpretation results.,"1. A method comprising:
selecting a type of geophysical data;
selecting a type of algorithm;
generating synthetic geophysical data of the selected type of geophysical data based at least in part on the algorithm;
training a deep learning classifier framework based at least in part on the synthetic geophysical data to generate a trained deep learning classifier framework;
receiving acquired geophysical data for a geologic environment;
implementing the trained deep learning classifier framework to generate interpretation results for the acquired geophysical data; and
outputting the interpretation results, wherein the interpretation results characterize structural features indicative of hydrocarbons in the geologic environment.",Deep learning
Deep learning for algorithm portfolios,"Automated feature construction for algorithm portfolios in machine learning is provided. A gray scale image is generated from a text representing a problem instance. The gray scale image is rescaled or reshaped to a predefined size that is smaller than an initial size of the gray scale image. The rescaled gray scale image represents features of the problem instance. The rescaled gray scale image is input as features to a machine learning-based convolutional neural network. Based on the rescaled gray scale image, the machine learning-based convolutional neural network is automatically trained to learn to automatically determine one or more problem solvers from a portfolio of problem solvers suited for solving the problem instance.","1. A computer-implemented method of automated feature construction for algorithm portfolios in machine learning, comprising:
receiving, by one or more processors, a problem instance represented as text describing a problem to be solved by computer-implemented problem solver;
generating, by one or more of the processors, a gray scale image from the text by converting the text into the gray scale image that corresponds to the text;
rescaling, by one or more of the processors, the gray scale image to a predefined size that is smaller than an initial size of the gray scale image, into a rescaled gray scale image, the rescaled gray scale image representing features of the problem instance;
inputting, by one or more of the processors, the rescaled gray scale image as features to a machine learning-based convolutional neural network; and
training based on the rescaled gray scale image, by one or more of the processors, the machine learning-based convolutional neural network to learn to automatically determine one or more problem solvers from a portfolio of problem solvers suited for solving the problem instance,
wherein the receiving, generating, rescaling and inputting are performed for a plurality of problem instances for the training.",Deep learning
Modular deep learning model,"The technology described herein uses a modular model to process speech. A deep learning based acoustic model comprises a stack of different types of neural network layers. The sub-modules of a deep learning based acoustic model can be used to represent distinct non-phonetic acoustic factors, such as accent origins (e.g. native, non-native), speech channels (e.g. mobile, bluetooth, desktop etc.), speech application scenario (e.g. voice search, short message dictation etc.), and speaker variation (e.g. individual speakers or clustered speakers), etc. The technology described herein uses certain sub-modules in a first context and a second group of sub-modules in a second context.","1. An automatic speech recognition (ASR) system for machine understanding of acoustic information, the system comprising:
one or more processors that receive acoustic information comprising speech from a user received by a computing device associated with the user;
a computer-storage media storing an acoustic model configured to identify acoustic units within an acoustic information,
wherein the acoustic model (AM) comprises a modular deep learning model comprising multiple hidden layers, the multiple hidden layers including multiple modular layers comprising multiple context-specific sub-modules, wherein each modular layer is associated with a different context, wherein only a first context-specific sub-module associated with an active context in an individual modular layer processes the acoustic information during ASR, wherein the modular deep learning model also includes one or more common layers between individual modular layers;
a control module comprising one or more computer-storage media storing computer-usable instructions which, when executed by one or more processors, operates to use one or more external signals to determine the active context of the acoustic information when performing ASR;
a model configuration component comprising one or more computer-storage media storing computer-usable instructions which, when executed by one or more processors, operates to configure the acoustic model by activating and deactivating different context-specific sub-modules in the modular deep learning model during ASR based on the active context determined by the control module; and
one or more processors that determine recognized speech for the acoustic information, the recognized speech comprising one or more of words, entities, or phrases, by processing acoustic features of the acoustic information using the modular deep learning model.",Deep learning
Deep learning processing of video,"A method and system for processing multiple frames of a video by a neural network are provided. Two frames of a video may be analyzed to determine if at least a portion of the layer-by-layer processing by a neural network can be skipped or terminated. Processing of a first frame of the video is performed by the neural network. A next frame of the video is processed by the neural network, such that processing of fewer layers (or sets of operations) of the neural network is performed if the first frame and the second frame are substantially similar.","1. A method comprising:
performing a first processing of a first frame of a video by a neural network, wherein the first processing comprises application of a first layer and a second layer of the neural network; and
performing a second processing of a second frame of the video by the neural network, wherein application of the second layer of the neural network is skipped in the second processing if the first frame and the second frame are substantially similar.",Deep learning
System and method for deep learning and wireless network optimization using deep learning,"A neural network is trained using deep reinforcement learning (DRL) techniques for adjusting cell parameters of a wireless network by generating a plurality of experience tuples, and updating the neural network based on the generated experience tuples. The trained neural network may be used to select actions to adjust the cell parameters. Each experience tuple includes a cell identifier, a first state, a second state, an action applied to the cell that moves the cell from the first state to the second state, a local reward, and a global reward. The neural network is updated based on whether or not each action is acceptable, which is determined based on the global reward and the local reward associated with each action.","1. A method comprising:
initializing a neural network with a set of weight values, the neural network being used to determine actions that adjust one or more settings of cells associated with base stations in a wireless network, each base station providing communication services to user equipments (UEs) within one or more cells; and
training the neural network by using a deep reinforcement learning (DRL) process, the DRL processing comprising:
generating a first plurality of experience tuples for a plurality of cells in the wireless network, each experience tuple comprising a cell identifier that identifies a cell, a first state of the cell, a second state of the cell, an action that causes the cell to transit from the first state to the second state, and a reward value for taking the action, wherein a state of a cell comprises a setting of a base station providing a coverage area of the cell, and a reward value is calculated using a cost function based on measurement reports received from UEs in the wireless network, wherein each experience tuple can be a DRL-generated experience tuple in which a respective action is selected by a DRL agent based on the neural network according to a DRL technique or an expert-generated experience tuple in which the respective action is provided based on expert experience, and wherein whether an action is selected by the DRL agent based on the neural network or provided based on the expert experience is determined based on a first criterion; and
selecting a second plurality of experience tuples from the first plurality of experience tuples; and
updating the set of weight values of the neural network according to reward values in the second plurality of experience tuples.",Deep learning
Deep learning automated dermatopathology,"Techniques for classifying a human cutaneous tissue specimen are presented. The techniques may include obtaining a computer readable image of the human tissue sample and preprocessing the image. The techniques may include applying a trained deep learning model to the image to label each of a plurality of image pixels with at least one probability representing a particular diagnosis, such that a labeled plurality of image pixels is obtained. The techniques can also include applying a trained discriminative classifier to contiguous regions of pixels defined at least in part by the labeled plurality of image pixels to obtain a specimen level diagnosis, where the specimen level diagnosis includes at least one of: basal cell carcinoma, dermal nevus, or seborrheic keratosis. The techniques can include outputting the specimen level diagnosis.","1. An at least partially computer implemented method of classifying a human cutaneous tissue specimen, the method comprising:
obtaining a computer readable image of the human tissue sample;
preprocessing the image;
applying a trained deep learning model to the image to label each of a plurality of image pixels with at least one probability representing a particular diagnosis, such that a labeled plurality of image pixels is obtained;
applying a trained discriminative classifier to contiguous regions of pixels defined at least in part by the labeled plurality of image pixels to obtain a specimen level diagnosis, wherein the specimen level diagnosis comprises at least one of:
basal cell carcinoma, dermal nevus, or seborrheic keratosis; and
outputting the specimen level diagnosis.",Deep learning
Quantum deep learning,"Boltzmann machines are trained using an objective function that is evaluated by sampling quantum states that approximate a Gibbs state. Classical processing is used to produce the objective function, and the approximate Gibbs state is based on weights and biases that are refined using the sample results. In some examples, amplitude estimation is used. A combined classical/quantum computer produces suitable weights and biases for classification of shapes and other applications.","1. A method of efficiently training a Boltzmann machine, comprising:
with a classical computer, receiving a specification of a Boltzmann machine, an objective function, and associated training data, and
in a quantum computer, determining at least one gradient of the objective function by:
based on the specification of the Boltzmann machine, preparing a plurality of qubits to represent a Gibbs distribution;
adding a qubit to the plurality of qubits and applying a rotation operator so that the added qubit has amplitudes of first and second states based on a joint probability distribution of hidden and visible unit values;
producing the at least one gradient of the objective function by sampling the states of each of the plurality of qubits; and
based on the at least one gradient of the objective function, specifying at least one visible bias, at least one hidden bias or at least one weight of the Boltzmann machine so as to produce a trained Boltzmann machine.",Deep learning
Deep learning application distribution,"In one embodiment, a method includes training a deep neural network using a first set of network characteristics corresponding to a first time and a second set of network characteristics corresponding to a second time, generating, using the deep neural network, a predictive set of network characteristics corresponding to a future time, and assigning a task of a distributed application to a processing unit based on the predictive set of network characteristics.","1. A method, comprising:
receiving, at a controller in a local area network (LAN), a first set of network characteristics and a second set of network characteristics that each comprise respective network measurements associated with a plurality of devices in the LAN that execute a distributed application, wherein the first set of network characteristics correspond to a first time and the second set of network characteristics correspond to a second time;
training, by the controller, a deep neural network by using the first set of network characteristics and the second set of network characteristics as inputs for the deep neural network, wherein the deep neural network implements multimodal learning using a plurality of deep neural network layers;
generating, by the controller and using the deep neural network, a predictive set of network characteristics of the distributed application corresponding to a future time based on interrelationships identified between features generated from the first set of network characteristics and the second set of network characteristics, wherein the predictive set of network characteristics are indicative of availability of network bandwidth, network latency, or network throughput of one device of the plurality of devices in the LAN at the future time; and
causing, by the controller, an assignment of a task of the distributed application to one or more devices in the LAN based on the predictive set of network characteristics.",Deep learning
Backpressure for accelerated deep learning,"Techniques in advanced deep learning provide improvements in one or more of accuracy, performance, and energy efficiency. An array of processing elements performs flow-based computations on wavelets of data. Each processing element comprises a respective compute element and a respective routing element. Each compute element comprises virtual input queues. Each router enables communication via wavelets with at least nearest neighbors in a 2D mesh. Routing is controlled by respective virtual channel specifiers in each wavelet and routing configuration information in each router. Each router comprises data queues. The virtual input queues of the compute element and the data queues of the router are managed in accordance with the virtual channels. Backpressure information, per each of the virtual channels, is generated, communicated, and used to prevent overrun of the virtual input queues and the data queues.","1. A method comprising:
managing a plurality of virtual input queues of a first processing element having a first coupling to a fabric, each virtual input queue enabled to store a respective number of fabric packets received via the fabric, the first coupling associated with a plurality of fabric virtual channels each associated with one of the virtual input queues;
managing a plurality of backpressure indicators, each backpressure indicator associated with a respective one of the fabric virtual channels and enabled to selectively indicate one of a stall state and a ready state, each respective backpressure indicator set to the ready state when the virtual input queue associated with the fabric virtual channel associated with the respective backpressure indicator holds less than a respective threshold number of fabric packets and otherwise set to the stall state;
transmitting the backpressure indicators via the first coupling to the fabric and through routing paths enabled by the fabric and determinable at least in part by referencing information identified by fabric virtual channel identifiers respectively associated with each of the fabric virtual channels and wherein each of the fabric packets comprises a respective instance of one of the fabric virtual channel identifiers;
receiving the backpressure indicators via the fabric at a second processing element, the second processing element comprising a second coupling to the fabric, the second coupling associated with the fabric virtual channels; and
in the second processing element and responsive to ones of the received backpressure indicators in the stall state, stalling transmission associated with the fabric virtual channels associated with the ones of the received backpressure indicators in the stall state, the stalling transmission being with respect to fabric packets from the second processing element destined for the first processing element.",Deep learning
Text recognition and localization with deep learning,"Approaches provide for identifying text represented in image data as well as determining a location or region of the image data that includes the text represented in the image data. For example, a camera of a computing device can be used to capture a live camera view of one or more items. The live camera view can be presented to the user on a display screen of the computing device. An application executing on the computing device or at least in communication with the computing device can analyze the image data of the live camera view to identify text represented in the image data as well as determine locations or regions of the image that include the representations. For example, one such recognition approach includes a region proposal process to generate a plurality of candidate bounding boxes, a region filtering process to determine a subset of the plurality of candidate bounding boxes, a region refining process to refine the bounding box coordinates to more accurately fit the identified text, a text recognizer process to recognize words in the refined bounding boxes, and a post-processing process to suppress overlapping bounding boxes to generate a final set of bounding boxes.","1. A computer-implemented method, comprising:
obtaining image data that includes representations of text;
determining a plurality of regions of interest, a first set of the plurality of regions of interest including the representations of text and a second set of the plurality of regions of interest including potential representations of text;
using a first trained neural network to identify the first set of the plurality of regions of interest;
using a second trained neural network to update a position of each region of the first set of the plurality of regions of interest to include respective text representations within a predetermined deviation;
using a third trained neural network on the first set of the plurality of regions of interest to recognize words associated with respective regions based at least in part on the respective text representations;
receiving a selection of one of a recognized word from the list of recognized words;
causing a query to be executed against a data source, the query including the recognized word;
receiving, in response to the query, result information for a set of items, the set of items determined by comparing the word to a library of words, each word in the library of words associated with at least one item; and
generating a list of recognized words.",Deep learning
